method,coverage,selective_accuracy,selective_macro_f1,melanoma_coverage,retained_melanoma_n,retained_melanoma_tp,retained_melanoma_fn,retained_melanoma_sensitivity,retained_melanoma_fnr,automatic_melanoma_miss_rate,melanoma_fn_escape_rate,clinically_important_auto_miss_rate
Deterministic MSP seed2026,0.6028225806451613,0.9247491638795987,0.8081465435265694,0.3225806451612903,30,12,18,0.4,0.6,0.1935483870967742,0.3103448275862069,0.1320754716981132
MC Dropout PE seed2026,0.5967741935483871,0.9307432432432432,0.8347733512676526,0.3118279569892473,29,12,17,0.41379310344827586,0.5862068965517241,0.1827956989247312,0.29310344827586204,0.11949685534591195
Deep Ensemble MSP,0.5957661290322581,0.9576988155668359,0.8824294394346285,0.27956989247311825,26,13,13,0.5,0.5,0.13978494623655913,0.28888888888888886,0.09433962264150944
Post-calibrated Ensemble MSP,0.59375,0.9575551782682513,0.8822198540516514,0.27956989247311825,26,13,13,0.5,0.5,0.13978494623655913,0.28888888888888886,0.09433962264150944
